,Date,Time,Open,High,Low,Close,todrop
2263,2016-03-15,17:00:00,1.41496,1.41517,1.41479,1.41502,0.0
2264,2016-03-16,17:00:00,1.42559,1.42574,1.42537,1.42547,0.0
2265,2016-03-17,17:00:00,1.44781,1.44795,1.44743,1.44743,0.0
2266,2016-03-18,17:00:00,1.44749,1.44761,1.44704,1.44761,0.0
2267,2016-03-19,17:00:00,1.44749,1.44761,1.44704,1.44761,0.0
2268,2016-03-20,17:00:00,1.44389,1.44466,1.44384,1.44466,0.0
2269,2016-03-21,17:00:00,1.43667,1.43699,1.43667,1.43691,0.0
2270,2016-03-22,17:00:00,1.42062,1.42069,1.42038,1.42044,0.0
2271,2016-03-23,17:00:00,1.41155,1.41177,1.41127,1.41177,0.0
2272,2016-03-24,17:00:00,1.41497,1.41584,1.41492,1.41564,0.0
2273,2016-03-25,17:00:00,1.41332,1.41334,1.41332,1.41332,0.0
2274,2016-03-26,17:00:00,1.41332,1.41334,1.41332,1.41332,0.0
2275,2016-03-27,17:00:00,1.41332,1.41334,1.41332,1.41332,0.0
2276,2016-03-28,17:00:00,1.42527,1.42658,1.42469,1.42529,0.0
2277,2016-03-29,17:00:00,1.43802,1.43849,1.43795,1.43849,0.0
2278,2016-03-30,17:00:00,1.43775,1.43775,1.43744,1.43758,0.0
2279,2016-03-31,17:00:00,1.43587,1.43619,1.43576,1.43619,0.0
2280,2016-04-01,17:00:00,1.42261,1.42273,1.4221,1.42213,0.0
2281,2016-04-02,17:00:00,1.42261,1.42273,1.4221,1.42213,0.0
2282,2016-04-03,17:00:00,1.42212,1.42219,1.42174,1.42174,0.0
2283,2016-04-04,17:00:00,1.4263,1.42638,1.4257,1.42631,0.0
2284,2016-04-05,17:00:00,1.41604,1.41604,1.41575,1.41601,0.0
2285,2016-04-06,17:00:00,1.41224,1.41224,1.41188,1.41219,0.0
2286,2016-04-07,17:00:00,1.40559,1.40559,1.40521,1.40544,0.0
2287,2016-04-08,17:00:00,1.41239,1.41247,1.41193,1.41231,0.0
2288,2016-04-09,17:00:00,1.41239,1.41247,1.41193,1.41231,0.0
2289,2016-04-10,17:00:00,1.41135,1.41147,1.41127,1.41147,0.0
2290,2016-04-11,17:00:00,1.42345,1.42371,1.42345,1.4235,0.0
2291,2016-04-12,17:00:00,1.42734,1.42761,1.42721,1.42756,0.0
2292,2016-04-13,17:00:00,1.42027,1.42058,1.42022,1.42053,0.0
2293,2016-04-14,17:00:00,1.41518,1.41519,1.41502,1.41516,0.0
2294,2016-04-15,17:00:00,1.41987,1.41991,1.4198,1.4199,0.0
2295,2016-04-16,17:00:00,1.41987,1.41991,1.4198,1.4199,0.0
2296,2016-04-17,17:00:00,1.4196,1.41961,1.41936,1.41941,0.0
2297,2016-04-18,17:00:00,1.4276,1.42771,1.42736,1.4277,0.0
2298,2016-04-19,17:00:00,1.43963,1.43968,1.43902,1.43904,0.0
2299,2016-04-20,17:00:00,1.43283,1.43308,1.43283,1.433,0.0
2300,2016-04-21,17:00:00,1.43219,1.43219,1.43196,1.43211,0.0
2301,2016-04-22,17:00:00,1.44029,1.44111,1.44013,1.44079,0.0
2302,2016-04-23,17:00:00,1.44029,1.44111,1.44013,1.44079,0.0
2303,2016-04-24,17:00:00,1.44621,1.44628,1.44583,1.44585,0.0
2304,2016-04-25,17:00:00,1.44796,1.44824,1.4479,1.44812,0.0
2305,2016-04-26,17:00:00,1.45791,1.45806,1.45787,1.45806,0.0
2306,2016-04-27,17:00:00,1.45423,1.45445,1.4539,1.45429,0.0
2307,2016-04-28,17:00:00,1.46052,1.46055,1.46006,1.46039,0.0
2308,2016-04-29,17:00:00,1.46083,1.46111,1.46055,1.46057,0.0
2309,2016-04-30,17:00:00,1.46083,1.46111,1.46055,1.46057,0.0
2310,2016-05-01,17:00:00,1.45825,1.45887,1.45825,1.45885,0.0
2311,2016-05-02,17:00:00,1.46714,1.46729,1.4671,1.46722,0.0
2312,2016-05-03,17:00:00,1.45333,1.45386,1.45317,1.45359,0.0
2313,2016-05-04,17:00:00,1.44924,1.44927,1.4492,1.44925,0.0
2314,2016-05-05,17:00:00,1.44838,1.44838,1.44817,1.44824,0.0
2315,2016-05-06,17:00:00,1.44274,1.44307,1.44261,1.44267,0.0
2316,2016-05-07,17:00:00,1.44274,1.44307,1.44261,1.44267,0.0
2317,2016-05-08,17:00:00,1.44139,1.44159,1.44138,1.44159,0.0
2318,2016-05-09,17:00:00,1.44067,1.44074,1.44035,1.44072,0.0
2319,2016-05-10,17:00:00,1.44408,1.44419,1.44377,1.44414,0.0
2320,2016-05-11,17:00:00,1.44476,1.44476,1.44442,1.44453,0.0
2321,2016-05-12,17:00:00,1.44477,1.4449,1.44465,1.44481,0.0
2322,2016-05-13,17:00:00,1.43558,1.43569,1.43483,1.43534,0.0
2323,2016-05-14,17:00:00,1.43558,1.43569,1.43483,1.43534,0.0
2324,2016-05-15,17:00:00,1.43504,1.43504,1.43484,1.43486,0.0
2325,2016-05-16,17:00:00,1.44012,1.44016,1.43984,1.44007,0.0
2326,2016-05-17,17:00:00,1.44595,1.44624,1.44589,1.44615,0.0
2327,2016-05-18,17:00:00,1.45977,1.45977,1.4595,1.45973,0.0
2328,2016-05-19,17:00:00,1.46092,1.46093,1.4601,1.4601,0.0
2329,2016-05-20,17:00:00,1.44977,1.44977,1.44963,1.44964,0.0
2330,2016-05-21,17:00:00,1.44977,1.44977,1.44963,1.44964,0.0
2331,2016-05-22,17:00:00,1.45101,1.45101,1.45051,1.45053,0.0
2332,2016-05-23,17:00:00,1.44783,1.44813,1.44773,1.44778,0.0
2333,2016-05-24,17:00:00,1.46317,1.46317,1.46317,1.46317,0.0
2334,2016-05-25,17:00:00,1.46922,1.46937,1.46922,1.46937,0.0
2335,2016-05-26,17:00:00,1.46664,1.46664,1.46658,1.46658,0.0
2336,2016-05-27,17:00:00,1.46166,1.46199,1.46163,1.46178,0.0
2337,2016-05-28,17:00:00,1.46166,1.46199,1.46163,1.46178,0.0
2338,2016-05-29,17:00:00,1.46044,1.46065,1.46044,1.46063,0.0
2339,2016-05-30,17:00:00,1.46365,1.46373,1.46358,1.46367,0.0
2340,2016-05-31,17:00:00,1.4479,1.4479,1.44785,1.44785,0.0
2341,2016-06-01,17:00:00,1.44123,1.44127,1.44097,1.44107,0.0
2342,2016-06-02,17:00:00,1.44189,1.44218,1.44189,1.44218,0.0
2343,2016-06-03,17:00:00,1.45115,1.4513,1.45115,1.4513,0.0
2344,2016-06-04,17:00:00,1.45115,1.4513,1.45115,1.4513,0.0
2345,2016-06-05,17:00:00,1.4464,1.4471,1.4464,1.44696,0.0
2346,2016-06-06,17:00:00,1.44373,1.44377,1.4435,1.44372,0.0
2347,2016-06-07,17:00:00,1.45396,1.45396,1.45394,1.45394,0.0
2348,2016-06-08,17:00:00,1.44999,1.45015,1.44999,1.45015,0.0
2349,2016-06-09,17:00:00,1.44524,1.4455,1.44524,1.44549,0.0
2350,2016-06-10,17:00:00,1.42573,1.42573,1.42503,1.42517,0.0
2351,2016-06-11,17:00:00,1.42573,1.42573,1.42503,1.42517,0.0
2352,2016-06-12,17:00:00,1.42638,1.42657,1.4259,1.42657,0.0
2353,2016-06-13,17:00:00,1.42701,1.42716,1.42616,1.4262,0.0
2354,2016-06-14,17:00:00,1.41097,1.4115,1.41063,1.41064,0.0
2355,2016-06-15,17:00:00,1.42022,1.42023,1.42021,1.42023,0.0
2356,2016-06-16,17:00:00,1.41969,1.41995,1.41969,1.41995,0.0
2357,2016-06-17,17:00:00,1.43536,1.43579,1.43527,1.43549,0.0
2358,2016-06-18,17:00:00,1.43536,1.43579,1.43527,1.43549,0.0
2359,2016-06-19,17:00:00,1.44679,1.44679,1.44674,1.44674,0.0
2360,2016-06-20,17:00:00,1.46882,1.46991,1.4683,1.4697,0.0
2361,2016-06-21,17:00:00,1.46534,1.46536,1.46445,1.46471,0.0
2362,2016-06-22,17:00:00,1.47233,1.47233,1.47203,1.47203,0.0
2363,2016-06-23,17:00:00,1.48666,1.48666,1.48639,1.48639,0.0
2364,2016-06-24,17:00:00,1.36655,1.36751,1.36557,1.36698,0.0
2365,2016-06-25,17:00:00,1.36655,1.36751,1.36557,1.36698,0.0
2366,2016-06-26,17:00:00,1.34099,1.34264,1.34099,1.34213,0.0
2367,2016-06-27,17:00:00,1.32266,1.32279,1.32177,1.32234,0.0
2368,2016-06-28,17:00:00,1.33413,1.33413,1.33379,1.33392,0.0
2369,2016-06-29,17:00:00,1.34263,1.3436,1.34226,1.34303,0.0
2370,2016-06-30,17:00:00,1.33081,1.33082,1.33081,1.33082,0.0
2371,2016-07-01,17:00:00,1.32728,1.32728,1.32728,1.32728,0.0
2372,2016-07-02,17:00:00,1.32728,1.32728,1.32728,1.32728,0.0
2373,2016-07-03,17:00:00,1.32466,1.32466,1.32433,1.32458,0.0
2374,2016-07-04,17:00:00,1.32832,1.32836,1.3283,1.3283,0.0
2375,2016-07-05,17:00:00,1.30205,1.30205,1.30193,1.30202,0.0
2376,2016-07-06,17:00:00,1.29286,1.29289,1.29269,1.29271,0.0
2377,2016-07-07,17:00:00,1.29044,1.29049,1.29023,1.29023,0.0
2378,2016-07-08,17:00:00,1.29455,1.29463,1.29455,1.29455,0.0
2379,2016-07-09,17:00:00,1.29455,1.29463,1.29455,1.29455,0.0
2380,2016-07-10,17:00:00,1.2946,1.29461,1.2946,1.29461,0.0
2381,2016-07-11,17:00:00,1.29962,1.29981,1.2994,1.2994,0.0
2382,2016-07-12,17:00:00,1.32426,1.32426,1.32423,1.32424,0.0
2383,2016-07-13,17:00:00,1.31429,1.31433,1.31425,1.31426,0.0
2384,2016-07-14,17:00:00,1.33403,1.33403,1.33401,1.33402,0.0
2385,2016-07-15,17:00:00,1.31772,1.31815,1.31717,1.31815,0.0
2386,2016-07-16,17:00:00,1.31772,1.31815,1.31717,1.31815,0.0
2387,2016-07-17,17:00:00,1.3194,1.3194,1.31937,1.31937,0.0
2388,2016-07-18,17:00:00,1.32516,1.32522,1.32512,1.32516,0.0
2389,2016-07-19,17:00:00,1.31068,1.31068,1.31057,1.31057,0.0
2390,2016-07-20,17:00:00,1.32036,1.32037,1.32035,1.32037,0.0
2391,2016-07-21,17:00:00,1.32251,1.3229,1.32251,1.32281,0.0
2392,2016-07-22,17:00:00,1.3109,1.31097,1.31073,1.31073,0.0
2393,2016-07-23,17:00:00,1.3109,1.31097,1.31073,1.31073,0.0
2394,2016-07-24,17:00:00,1.31432,1.31441,1.31389,1.31432,0.0
2395,2016-07-25,17:00:00,1.31356,1.31357,1.31356,1.31356,0.0
2396,2016-07-26,17:00:00,1.31233,1.31233,1.31233,1.31233,0.0
2397,2016-07-27,17:00:00,1.3219,1.32198,1.32187,1.32192,0.0
2398,2016-07-28,17:00:00,1.31617,1.31627,1.31576,1.31596,0.0
2399,2016-07-29,17:00:00,1.32239,1.32294,1.32239,1.32274,0.0
2400,2016-07-30,17:00:00,1.32239,1.32294,1.32239,1.32274,0.0
2401,2016-07-31,17:00:00,1.32363,1.32363,1.32222,1.32222,0.0
2402,2016-08-01,17:00:00,1.31757,1.31757,1.31757,1.31757,0.0
2403,2016-08-02,17:00:00,1.33535,1.33535,1.33535,1.33535,0.0
2404,2016-08-03,17:00:00,1.33218,1.33218,1.33212,1.33212,0.0
